ID,Age,Height,Weight,Sex,Total,Sport
0,23,170.0,60.0,M,0,Judo
1,33,193.0,125.0,M,0,Athletics
2,30,187.0,76.0,M,0,Athletics
3,24,,,M,0,Boxing
4,26,178.0,85.0,F,0,Athletics
5,27,182.0,80.0,M,0,Handball
6,30,182.0,73.0,F,0,Rowing
7,23,187.0,75.0,M,0,Football
8,27,190.0,80.0,M,0,Athletics
9,19,170.0,,M,0,Boxing
10,37,,,M,0,Hockey
11,28,,,M,0,Hockey
12,28,173.0,60.0,F,0,Rowing
13,28,171.0,64.0,F,0,Water Polo
14,22,171.0,62.0,M,0,Football
15,19,167.0,,F,0,Synchronised Swimming
16,22,175.0,63.0,M,0,Football
17,25,162.0,69.0,M,0,Weightlifting
18,18,167.0,,M,0,Boxing
19,25,175.0,85.0,M,0,Weightlifting
20,19,170.0,,F,0,Synchronised Swimming
21,26,171.0,60.0,F,0,Volleyball
22,34,177.0,66.0,M,0,Athletics
23,35,180.0,61.0,M,0,Athletics
24,20,183.0,,M,0,Boxing
25,26,165.0,55.0,F,0,Athletics
26,25,167.0,,M,0,Boxing
27,22,,,M,0,Wrestling
28,21,170.0,47.0,F,0,Athletics
29,23,180.0,,M,0,Taekwondo
30,34,173.0,84.0,M,0,Wrestling
31,22,170.0,66.0,M,0,Wrestling
32,27,179.0,82.0,M,0,Fencing
33,20,160.0,62.0,F,1,Diving
34,28,,62.0,F,0,Judo
35,27,177.0,78.0,M,0,Badminton
36,24,173.0,53.0,F,0,Athletics
37,27,168.0,60.0,F,0,Football
38,25,159.0,54.0,F,0,Athletics
39,20,162.0,75.0,F,0,Weightlifting
40,20,161.0,,M,0,Gymnastics - Artistic
41,17,170.0,53.0,F,0,Athletics
42,23,166.0,68.0,F,0,Swimming
43,31,180.0,64.0,M,0,Athletics
44,23,152.0,58.0,F,0,Football
45,21,188.0,82.0,M,1,Fencing
46,18,153.0,55.0,M,0,Wrestling
47,33,182.0,77.0,M,0,Football
48,25,184.0,78.0,M,0,Athletics
49,22,172.0,70.0,M,0,Football
50,34,158.0,47.0,F,0,Athletics
51,22,162.0,50.0,F,0,Cycling - Mountain Bike
52,31,180.0,68.0,M,0,Cycling - Mountain Bike
53,21,168.0,62.0,M,0,Athletics
54,28,168.0,62.0,M,0,Athletics
55,28,172.0,72.0,M,0,Judo
56,28,183.0,,M,0,Taekwondo
57,29,168.0,,M,0,Boxing
58,31,175.0,58.0,F,0,Triathlon
59,21,,,M,0,Athletics
60,22,,65.0,M,0,Judo
61,20,164.0,,F,0,Gymnastics - Rhythmic
62,29,208.0,110.0,M,0,Basketball
63,31,172.0,80.0,M,0,Shooting
64,24,167.0,52.0,F,0,Athletics
65,19,192.0,83.0,F,0,Basketball
66,17,175.0,60.0,F,0,Volleyball
67,27,184.0,84.0,M,0,Wrestling
68,27,171.0,72.0,F,1,Rowing
69,31,166.0,63.0,F,0,Weightlifting
70,37,188.0,66.0,F,0,Athletics
71,22,192.0,89.0,M,0,Swimming
72,29,162.0,51.0,F,0,Triathlon
73,23,160.0,,F,0,Synchronised Swimming
74,27,178.0,79.0,M,0,Athletics
75,30,171.0,73.0,M,0,Judo
76,23,180.0,79.0,M,0,Athletics
77,20,173.0,65.0,F,0,Swimming
78,35,189.0,70.0,M,0,Athletics
79,23,194.0,87.0,M,0,Athletics
80,29,164.0,,F,0,Boxing
81,27,193.0,120.0,F,0,Athletics
82,29,189.0,90.0,M,1,Rowing
83,24,183.0,75.0,M,0,Athletics
84,23,183.0,80.0,M,0,Badminton
85,27,188.0,88.0,M,0,Athletics
86,18,168.0,58.0,M,0,Athletics
